"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 24 22:55:37 MSK 2026","Thu Sep 24 22:55:42 MSK 2026","4834","","ru.yandex.practicum.tests.OrderCreateTest","","ru.yandex.practicum.tests.OrderCreateTest","createOrderWithIngredientsReturnsOrderNumber","Создание заказа с ингредиентами",""
"passed","Thu Sep 24 22:55:50 MSK 2026","Thu Sep 24 22:55:50 MSK 2026","119","","ru.yandex.practicum.tests.UserCreateTest","","ru.yandex.practicum.tests.UserCreateTest","createUserWithoutEmailReturns403","Создание пользователя без обязательного поля email",""
"passed","Thu Sep 24 22:55:30 MSK 2026","Thu Sep 24 22:55:36 MSK 2026","5491","","ru.yandex.practicum.tests.OrderCreateTest","","ru.yandex.practicum.tests.OrderCreateTest","createOrderWithInvalidHashReturns500","Создание заказа с неверным хешем ингредиентов",""
"passed","Thu Sep 24 22:55:49 MSK 2026","Thu Sep 24 22:55:50 MSK 2026","1031","","ru.yandex.practicum.tests.UserCreateTest","","ru.yandex.practicum.tests.UserCreateTest","createUniqueUserSuccess","Создание уникального пользователя",""
"passed","Thu Sep 24 22:55:42 MSK 2026","Thu Sep 24 22:55:43 MSK 2026","1060","","ru.yandex.practicum.tests.OrderCreateTest","","ru.yandex.practicum.tests.OrderCreateTest","createOrderWithoutAuth","Создание заказа без авторизации",""
"passed","Thu Sep 24 22:55:51 MSK 2026","Thu Sep 24 22:55:52 MSK 2026","1092","","ru.yandex.practicum.tests.UserLoginTest","","ru.yandex.practicum.tests.UserLoginTest","loginWithWrongCredentialsReturns401","Вход с неверным логином и паролем",""
"passed","Thu Sep 24 22:55:48 MSK 2026","Thu Sep 24 22:55:49 MSK 2026","1133","","ru.yandex.practicum.tests.UserCreateTest","","ru.yandex.practicum.tests.UserCreateTest","createDuplicateUserReturns403","Создание уже зарегистрированного пользователя",""
"passed","Thu Sep 24 22:55:50 MSK 2026","Thu Sep 24 22:55:51 MSK 2026","1140","","ru.yandex.practicum.tests.UserLoginTest","","ru.yandex.practicum.tests.UserLoginTest","loginExistingUserSuccess","Вход под существующим пользователем",""
"passed","Thu Sep 24 22:55:36 MSK 2026","Thu Sep 24 22:55:37 MSK 2026","1123","","ru.yandex.practicum.tests.OrderCreateTest","","ru.yandex.practicum.tests.OrderCreateTest","createOrderWithoutIngredientsReturns400","Создание заказа без ингредиентов",""
"passed","Thu Sep 24 22:55:43 MSK 2026","Thu Sep 24 22:55:48 MSK 2026","4810","","ru.yandex.practicum.tests.OrderCreateTest","","ru.yandex.practicum.tests.OrderCreateTest","createOrderWithAuthSuccess","Создание заказа с авторизацией",""
